frame_id,processing_time_seconds
exp_60m_60fps_f605,0.019
exp_60m_60fps_f606,0.018
exp_60m_60fps_f607,0.016
exp_60m_60fps_f608,0.017
exp_60m_60fps_f609,0.023
exp_60m_60fps_f610,0.018
exp_60m_60fps_f611,0.019
exp_60m_60fps_f612,0.016
exp_60m_60fps_f613,0.017
exp_60m_60fps_f614,0.023
exp_60m_60fps_f615,0.021
exp_60m_60fps_f616,0.024
exp_60m_60fps_f617,0.017
exp_60m_60fps_f618,0.016
exp_60m_60fps_f619,0.018
exp_60m_60fps_f620,0.02
exp_60m_60fps_f621,0.023
exp_60m_60fps_f622,0.022
exp_60m_60fps_f623,0.016
exp_60m_60fps_f624,0.024
exp_60m_60fps_f625,0.017
exp_60m_60fps_f626,0.023
exp_60m_60fps_f627,0.016
exp_60m_60fps_f628,0.019
exp_60m_60fps_f629,0.021
exp_60m_60fps_f630,0.017
exp_60m_60fps_f631,0.024
exp_60m_60fps_f632,0.021
exp_60m_60fps_f633,0.019
exp_60m_60fps_f634,0.02
exp_60m_60fps_f635,0.018
exp_60m_60fps_f636,0.017
exp_60m_60fps_f637,0.019
exp_60m_60fps_f638,0.016
exp_60m_60fps_f639,0.021
exp_60m_60fps_f640,0.022
exp_60m_60fps_f641,0.018
exp_60m_60fps_f642,0.016
exp_60m_60fps_f643,0.017
exp_60m_60fps_f644,0.017
exp_60m_60fps_f645,0.021
exp_60m_60fps_f646,0.024
exp_60m_60fps_f647,0.018
exp_60m_60fps_f648,0.017
exp_60m_60fps_f649,0.024
exp_60m_60fps_f650,0.017
exp_60m_60fps_f651,0.023
exp_60m_60fps_f652,0.019
exp_60m_60fps_f653,0.019
exp_60m_60fps_f654,0.017
exp_60m_60fps_f655,0.017
exp_60m_60fps_f656,0.018
exp_60m_60fps_f657,0.016
exp_60m_60fps_f658,0.017
exp_60m_60fps_f659,0.017
exp_60m_60fps_f660,0.017
exp_60m_60fps_f661,0.018
exp_60m_60fps_f662,0.021
exp_60m_60fps_f663,0.021
exp_60m_60fps_f664,0.023
exp_60m_60fps_f665,0.02
exp_60m_60fps_f666,0.017
exp_60m_60fps_f667,0.021
exp_60m_60fps_f668,0.018
exp_60m_60fps_f669,0.018
exp_60m_60fps_f670,0.023
exp_60m_60fps_f671,0.023
exp_60m_60fps_f672,0.022
exp_60m_60fps_f673,0.018
exp_60m_60fps_f674,0.019
exp_60m_60fps_f675,0.018
exp_60m_60fps_f676,0.017
exp_60m_60fps_f677,0.02
exp_60m_60fps_f678,0.022
exp_60m_60fps_f679,0.016
exp_60m_60fps_f680,0.017
exp_60m_60fps_f681,0.022
exp_60m_60fps_f682,0.019
exp_60m_60fps_f683,0.016
exp_60m_60fps_f684,0.022
exp_60m_60fps_f685,0.017
exp_60m_60fps_f686,0.022
exp_60m_60fps_f687,0.02
exp_60m_60fps_f688,0.023
exp_60m_60fps_f689,0.023
exp_60m_60fps_f690,0.023
exp_60m_60fps_f691,0.023
exp_60m_60fps_f692,0.022
exp_60m_60fps_f693,0.021
exp_60m_60fps_f694,0.021
exp_60m_60fps_f695,0.022
exp_60m_60fps_f696,0.017
exp_60m_60fps_f697,0.023
exp_60m_60fps_f698,0.022
exp_60m_60fps_f699,0.019
exp_60m_60fps_f700,0.02
exp_60m_60fps_f701,0.016
exp_60m_60fps_f702,0.02
exp_60m_60fps_f703,0.016
exp_60m_60fps_f704,0.019
exp_60m_60fps_f705,0.018
exp_60m_60fps_f706,0.021
exp_60m_60fps_f707,0.018
exp_60m_60fps_f708,0.018
exp_60m_60fps_f709,0.02
exp_60m_60fps_f710,0.021
exp_60m_60fps_f711,0.023
exp_60m_60fps_f712,0.018
exp_60m_60fps_f713,0.02
exp_60m_60fps_f714,0.018
exp_60m_60fps_f715,0.022
exp_60m_60fps_f716,0.018
exp_60m_60fps_f717,0.021
exp_60m_60fps_f718,0.018
exp_60m_60fps_f719,0.02
exp_60m_60fps_f720,0.016
exp_60m_60fps_f721,0.022
exp_60m_60fps_f722,0.017
exp_60m_60fps_f723,0.019
exp_60m_60fps_f724,0.022
exp_60m_60fps_f725,0.019
exp_60m_60fps_f726,0.021
exp_60m_60fps_f727,0.022
exp_60m_60fps_f728,0.016
exp_60m_60fps_f729,0.016
exp_60m_60fps_f730,0.016
exp_60m_60fps_f731,0.017
exp_60m_60fps_f732,0.02
exp_60m_60fps_f733,0.016
exp_60m_60fps_f734,0.023
exp_60m_60fps_f735,0.018
exp_60m_60fps_f736,0.017
exp_60m_60fps_f737,0.017
exp_60m_60fps_f738,0.019
exp_60m_60fps_f739,0.018
exp_60m_60fps_f740,0.017
exp_60m_60fps_f741,0.022
exp_60m_60fps_f742,0.021
exp_60m_60fps_f743,0.017
exp_60m_60fps_f744,0.023
exp_60m_60fps_f745,0.021
exp_60m_60fps_f746,0.02
exp_60m_60fps_f747,0.022
exp_60m_60fps_f748,0.019
exp_60m_60fps_f749,0.019
exp_60m_60fps_f750,0.022
exp_60m_60fps_f751,0.022
exp_60m_60fps_f752,0.023
exp_60m_60fps_f753,0.021
exp_60m_60fps_f754,0.022
exp_60m_60fps_f755,0.018
exp_60m_60fps_f756,0.017
exp_60m_60fps_f757,0.019
exp_60m_60fps_f758,0.021
exp_60m_60fps_f759,0.02
exp_60m_60fps_f760,0.02
exp_60m_60fps_f761,0.021
exp_60m_60fps_f762,0.023
exp_60m_60fps_f763,0.019
exp_60m_60fps_f764,0.02
exp_60m_60fps_f765,0.016
exp_60m_60fps_f766,0.017
exp_60m_60fps_f767,0.018
exp_60m_60fps_f768,0.016
exp_60m_60fps_f769,0.023
exp_60m_60fps_f770,0.018
exp_60m_60fps_f771,0.017
exp_60m_60fps_f772,0.022
exp_60m_60fps_f773,0.017
exp_60m_60fps_f774,0.02
exp_60m_60fps_f775,0.023
exp_60m_60fps_f776,0.024
exp_60m_60fps_f777,0.024
exp_60m_60fps_f778,0.016
exp_60m_60fps_f779,0.023
exp_60m_60fps_f780,0.024
exp_60m_60fps_f781,0.019
exp_60m_60fps_f782,0.017
exp_60m_60fps_f783,0.02
exp_60m_60fps_f784,0.02
exp_60m_60fps_f785,0.017
exp_60m_60fps_f786,0.02
exp_60m_60fps_f787,0.022
exp_60m_60fps_f788,0.021
exp_60m_60fps_f789,0.016
exp_60m_60fps_f790,0.017
exp_60m_60fps_f791,0.018
exp_60m_60fps_f792,0.016
exp_60m_60fps_f793,0.017
exp_60m_60fps_f794,0.02
exp_60m_60fps_f795,0.021
exp_60m_60fps_f796,0.023
exp_60m_60fps_f797,0.019
exp_60m_60fps_f798,0.019
exp_60m_60fps_f799,0.022
exp_60m_60fps_f800,0.016
exp_60m_60fps_f801,0.023
exp_60m_60fps_f802,0.018
exp_60m_60fps_f803,0.019
exp_60m_60fps_f804,0.021
exp_60m_60fps_f805,0.019
exp_60m_60fps_f806,0.023
exp_60m_60fps_f807,0.023
exp_60m_60fps_f808,0.023
exp_60m_60fps_f809,0.023
exp_60m_60fps_f810,0.018
exp_60m_60fps_f811,0.023
exp_60m_60fps_f812,0.02
exp_60m_60fps_f813,0.022
exp_60m_60fps_f814,0.016
exp_60m_60fps_f815,0.016
exp_60m_60fps_f816,0.016
exp_60m_60fps_f817,0.02
exp_60m_60fps_f818,0.019
exp_60m_60fps_f819,0.02
exp_60m_60fps_f820,0.018
exp_60m_60fps_f821,0.022
